song,artist,labels
Long Tall Glasses (I Can Dance),Leo Sayer,Chrysalis
When Will I Be Loved,Linda Ronstadt,Capitol Records
You're No Good,Linda Ronstadt,Asylum Records
Love Won't Let Me Wait,Major Harris,Atlantic
Midnight Blue,Melissa Manchester,Arista
Wildfire,Michael Murphy,?
The Rockford Files,Mike Post,MGM Records
Lovin' You,Minnie Riperton,Epic
Feelings,Morris Albert,Decca
Bad Blood,Neil Sedaka,Polydor
Laughter In The Rain,Neil Sedaka,Dino Music
Fire,Ohio Players,Mercury
Have You Never Been Mellow,Olivia Newton-John,?
Please Mr Please,Olivia Newton-John,?
Dance With Me,Orleans,Asylum Records
Jackie Blue,Ozark Mountain Daredevil,?
I Don't Like To Sleep Alone,Paul Anka,United Artists Records
Junior's Farm,Paul McCartney and Wings,?
Sally G,Paul McCartney and Wings,Apple Records
Poetry Man,Phoebe Snow,Shelter Records
Magic,Pilot,EMI
Killer Queen,Queen,EMI
Misty,Ray Stevens,Barnaby Records
Snookeroo,Ringo Starr,Apple Records
Only You,Ringo Starr,Apple Records
No No Song,Ringo Starr,Apple Records
You Got The Love,Rufus,ABC Records
Chevy Van,Sammy Johns,GRC
Boogie On Reggae Woman,Stevie Wonder,Tamla
Lady,Styx,RCA Victor
"Don't Call Us, We'll Call You",Sugarloaf,Polydor
Ballroom Blitz,Sweet,Disgrace
It Only Takes A Minute,Tavares,Capitol Records
When Will I See You Again,Three Degrees,Philadelphia International Records
He Don't Love You (Like I Love You),Tony Orlando and Dawn,Elektra
Why Can't We Be Friends?,War,United Artists Records
Listen To What The Man Said,Wings,Capitol Records
Dream On,Aerosmith,Columbia
"More, More, More",Andrea True Connection,Buddah Records
Tryin' To Get The Feeling Again,Barry Manilow,Arista
I Write The Songs,Barry Manilow,Arista
Money Honey,Bay City Rollers,Arista
Saturday Night,Bay City Rollers,Arista
Rock And Roll Music,Beach Boys,Reprise Records
Got To Get You Into My Life,Beatles,Capitol Records
Fanny (Be Tender With My Love),Bee Gees,RSO
You Should Be Dancing,Bee Gees,RSO
Let Your Love Flow,Bellamy Brothers,Warner Bros. Records
Lowdown,Boz Scaggs,Columbia
I'll Be Good To You,Brothers Johnson,A&M Records
Convoy,C.W. McCall,?
Young Hearts Run Free,Candi Staton,Dancenet
Lonely Night (Angel Face),Captain and Tennille,A&M Records
Shop Around,Captain and Tennille,A&M Records
If You Leave Me Now,Chicago,CBS
Devil Woman,Cliff Richard,EMI
Sweet Love,Commodores,Motown
Sara Smile,Daryl Hall and John Oates,RCA Victor
She's Gone,Daryl Hall and John Oates,Atlantic
Golden Years,David Bowie,RCA
Walk Away From Love,David Ruffin,Tamla Motown
"Theme From ""Mahogany""",Diana Ross,Motown
Love Hangover,Diana Ross,Motown
Love To Love You Baby,Donna Summer,Interfusion
Deep Purple,Donny and Marie Osmond,MGM Records
Misty Blue,Dorothy Moore,RCA Victor
A Little Bit More,Dr. Hook,?
Only Sixteen,Dr. Hook,?
Take It To The Limit,Eagles,Asylum Records
Getaway,"Earth, Wind and Fire",?
Sing A Song,"Earth, Wind and Fire",?
Evil Woman,Electric Light Orchestra,Jet Records
Island Girl,Elton John,DJM Records
Don't Go Breaking My Heart,Elton John and Kiki Dee,The Rocket Record Company
Fooled Around And Fell In Love,Elvin Bishop,Capricorn Records
I'd Really Love To See You Tonight,England Dan and John Ford Coley,Big Tree Records
All By Myself,Eric Carmen,Arista
Rhiannon (Will You Ever Win),Fleetwood Mac,Reprise Records
Say You Love Me,Fleetwood Mac,Reprise Records
Slow Ride,Foghat,Bearsville
"December, 1963 (Oh, What A Night)",Four Seasons,Warner Bros. Records
Dream Weaver,Gary Wright,Reprise Records
Love Is Alive,Gary Wright,Warner Bros. Records
This Masquerade,George Benson,Warner Bros. Records
Country Boy (You Got Your Feet In L.A.),Glen Campbell,Capitol Records
Shannon,Henry Gross,Lifesong
You Sexy Thing,Hot Chocolate,Big Tree Records
With Your Love,Jefferson Starship,Grunt
Welcome Back,John Sebastian,Reprise Records
Let Her In,John Travolta,Success
Disco Lady,Johnnie Taylor,CBS
That's The Way I Like It,K.C. and The Sunshine Band,?
"(Shake, Shake, Shake) Shake Your Booty",K.C. and The Sunshine Band,?
I'm Easy,Keith Carradine,Asylum Records
Rock And Roll All Nite,Kiss,Casablanca
Junk Food Junkie,Larry Groce,Warner Bros. Records
You'll Never Find Another Love Like Mine,Lou Rawls,Philadelphia International Records
Kiss And Say Goodbye,Manhattans,CBS/Sony
Right Back Where We Started From,Maxine Nightingale,Capitol Records
Love Hurts,Nazareth,Vertigo
Love Rollercoaster,Ohio Players,Mercury
Who'd She Coo,Ohio Players,Mercury
I Love Music (Pt. 1),O'Jays,?
Still The One,Orleans,Asylum Records
Tear The Roof Off The Sucker,Parliament,Casablanca
Times Of Your Life,Paul Anka,United Artists Records
50 Ways To Leave Your Lover,Paul Simon,Columbia
"Baby, I Love Your Way",Peter Frampton,A&M Records
Show Me The Way,Peter Frampton,A&M Records
Bohemian Rhapsody,Queen,EMI
You're My Best Friend,Queen,Elektra
"Theme From ""S.W.A.T""",Rhythm Heritage,ABC Records
Disco Duck,Rick Dees,2000 FruitGum Corp.
Sweet Thing,Rufus,ABC Records
Get Closer,Seals and Crofts,Warner Bros. Records
"Fly, Robin, Fly",Silver Convention,Magnet
Get Up And Boogie,Silver Convention,Federal Records
Let's Do It Again,Staple Singers,Warner Bros. Records
Moonlight Feels Right,Starbuck,Private Stock
Afternoon Delight,Starland Vocal Band,RCA Victor
Take The Money And Run,Steve Miller Band,Mercury
Fox On The Run,Sweet,RCA Victor
Boogie Fever,Sylvers,Capitol Records
Heaven Must Be Missing An Angel,Tavares,Capitol Records
The Boys Are Back In Town,Thin Lizzy,Vertigo
Turn The Beat Around,Vicki Sue Robinson,RCA Limited Australia and New Zealand
Summer,War,Festival Records
Squeeze Box,Who,Polydor
Play That Funky Music,Wild Cherry,Epic
Let 'Em In,Wings,?
Silly Love Songs,Wings,Capitol Records
The Things We Do For Love,10cc,?
Dancing Queen,ABBA,Polydor
"Knowing Me, Knowing You",ABBA,Atlantic
Walk This Way,Aerosmith,CBS
Year Of The Cat,Al Stewart,Janus Records
Undercover Angel,Alan O'Day,?
You And Me,Alice Cooper,Warner Bros. Records
I Never Cry,Alice Cooper,Warner Bros. Records
Lonely Boy,Andrew Gold,Asylum Records
I Just Want To Be Your Everything,Andy Gibb,RSO
So In To You,Atlanta Rhythm Section,Polydor
Don't Worry Baby,B.J. Thomas,?
"Love Theme From ""A Star Is Born""",Barbra Streisand,CBS
My Heart Belongs To Me,Barbra Streisand,Columbia
Weekend In New England,Barry Manilow,Arista
Looks Like We Made It,Barry Manilow,Arista
You Made Me Believe In Magic,Bay City Rollers,Arista
Love So Right,Bee Gees,RSO
"Theme From ""Rocky"" (Gonna Fly Now)",Bill Conti,United Artists Records
Night Moves,Bob Seger and The Silver Bullet Band,Capitol Records
Lido Shuffle,Boz Scaggs,CBS
Lost Without Your Love,Bread,Elektra
Dazz,Brick,Bang Records
Strawberry Letter 23,Brothers Johnson,A&M Records
Stand Tall,Burton Cummings,Portrait
Muskrat Love,Captain and Tennille,A&M Records
Nobody Does It Better,Carly Simon,Elektra
Couldn't Get It Right,Climax Blues Band,RCA Victor
Easy,Commodores,Motown
Just A Song Before I Go,"Crosby, Stills and Nash",?
Rich Girl,Daryl Hall and John Oates,RCA
Jeans On,David Dundas,Chrysalis
Don't Give Up On Us,David Soul,Private Stock
Ariel,Dean Friedman,Lifesong
Hotel California,Eagles,Asylum Records
New Kid In Town,Eagles,Asylum Records
Telephone Line,Electric Light Orchestra,United Artists Records
Livin' Thing,Electric Light Orchestra,United Artists Records
Sorry Seems To Be The Hardest Word,Elton John,The Rocket Record Company
Way Down,Elvis Presley,RCA Victor
Best Of My Love,Emotions,CBS
After The Lovin',Engelbert Humperdinck,Epic
Dreams,Fleetwood Mac,Warner Bros. Records
Go Your Own Way,Fleetwood Mac,Warner Bros. Records
Don't Stop,Fleetwood Mac,Warner Bros. Records
Float On,Floaters,ABC Records
Cold As Ice,Foreigner,Atlantic
Feels Like The First Time,Foreigner,Razor & Tie
Southern Nights,Glen Campbell,Capitol Records
Barracuda,Heart,Portrait
Boogie Nights,Heatwave,GTO
You're My World,Helen Reddy,Capitol Records
Angel In Your Arms,Hot,Big Tree Records
Enjoy Yourself,Jacksons,Epic
Handy Man,James Taylor,CBS
Right Time Of The Night,Jennifer Warnes,Flashback Records
Margaritaville,Jimmy Buffett,ABC Records
Ain't Gonna Bump No More (With No Big Fat Woman),Joe Tex,Epic
Swayin' To The Music (Slow Dancin'),Johnny Rivers,Big Tree Records
I'm Your Boogie Man,K.C. and The Sunshine Band,?
Keep It Comin' Love,K.C. and The Sunshine Band,?
Carry On Wayward Son,Kansas,Epic
I Like Dreamin',Kenny Nolan,20th Century Records
Lucille,Kenny Rogers,United Artists Records
When I Need You,Leo Sayer,Chrysalis
You Make Me Feel Like Dancing,Leo Sayer,Chrysalis
How Much Love,Leo Sayer,Chrysalis
Star Wars (Main Title),London Symphony Orchestra,20th Century Records
Blinded By The Light,Manfred Mann's. Earth Band,?
You Don't Have To Be A Star,Marilyn McCoo and Billy Davis Jr.,?
Heard It In A Love Song,Marshall Tucker Band,Capricorn Records
"Got To Give It Up, Pt. 1",Marvin Gaye,?
Torn Between Two Lovers,Mary MacGregor,Ariola Records America
Star Wars Theme-Cantina Band,Meco,RCA
I've Got Love On My Mind,Natalie Cole,Cema Special Markets
Whatcha Gonna Do?,Pablo Cruise,A&M Records
I'm In You,Peter Frampton,A&M Records
Do You Wanna Make Love?,Peter McCann,20th Century Records
Somebody To Love,Queen,Elektra
(Your Love Has Lifted Me) Higher And Higher,Rita Coolidge,A&M Records
Tonight's The Night (Gonna Be Alright),Rod Stewart,Warner Bros. Records
It Was Almost Like A Song,Ronnie Milsap,RCA
I Wanna Get Next To You,Rose Royce,MCA Records
Car Wash,Rose Royce,MCA Records
Smoke From A Distant Fire,Sanford Townsend Band,?
Da Doo Ron Ron,Shaun Cassidy,Warner Bros. Records
That's Rock 'N' Roll,Shaun Cassidy,Warner Bros. Records
The Rubberband Man,Spinners,Atlantic
On And On,Stephen Bishop,MCA Records
Fly Like An Eagle,Steve Miller Band,DCC Compact Classics Inc.
Jet Airliner,Steve Miller Band,Mercury
I Wish,Stevie Wonder,Motown
Sir Duke,Stevie Wonder,Tamla
Give A Little Bit,Supertramp,A&M Records
High School Dance,Sylvers,Capitol Records
Hot Line,Sylvers,Capitol Records
Don't Leave Me This Way,Thelma Houston,Dig It International
Boogie Oogie Oogie,A Taste Of Honey,Not On Label (A Taste Of Honey)
The Name Of The Game,ABBA,Universal
Take A Chance On Me,ABBA,Atlantic
I Love The Night Life,Alicia Bridges,Collectables
(Love Is) Thicker Than Water,Andy Gibb,RSO
An Everlasting Love,Andy Gibb,RSO
Shadow Dancing,Andy Gibb,RSO
You Needed Me,Anne Murray,Capitol Records
Imaginary Lover,Atlanta Rhythm Section,Polydor
Can't Smile Without You,Barry Manilow,Arista
Copacabana,Barry Manilow,Arista
How Deep Is Your Love,Bee Gees,RSO
Stayin' Alive,Bee Gees,Polydor
Night Fever,Bee Gees,RSO
Just The Way You Are,Billy Joel,Columbia
Hollywood Nights,Bob Seger and The Silver Bullet Band,Capitol Records
Still The Same,Bob Seger and The Silver Bullet Band,Capitol Records
Sentimental Lady,Bob Welch,Capitol Records
Ebony Eyes,Bob Welch,Capitol Records
It's A Heartache,Bonnie Tyler,Castle Pulse
Don't Look Back,Boston,Epic
You Belong To Me,Carly Simon,Elektra
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic,Atlantic
Fool (If You Think It's Over),Chris Rea,Magnet
Feels So Good,Chuck Mangione,A&M Records
Three Times A Lady,Commodores,Motown
Don't It Make My Brown Eyes Blue,Crystal Gayle,United Artists Records
Sometimes When We Touch,Dan Hill,20th Century Records
Goodbye Girl,David Gates,Elektra
You Light Up My Life,Debby Boone,Warner Bros. Records
Here You Come Again,Dolly Parton,RCA Victor
Last Dance,Donna Summer,Casablanca
Serpentine Fire,"Earth, Wind and Fire",?
Baby Hold On,Eddie Money,Columbia
Sweet Talking Woman,Electric Light Orchestra,Jet Records
Turn To Stone,Electric Light Orchestra,Jet Records
Lay Down Sally,Eric Clapton,RSO
I Can't Stand The Rain,Eruption,Durium
Shame,"Evelyn ""Champagne"" King",?
Kiss You All Over,Exile,RAK
Hot Blooded,Foreigner,Suzy
Get Off,Foxy,Dash
Grease,Frankie Valli,Polydor
On Broadway,George Benson,Warner Bros. Records
Baker Street,Gerry Rafferty,United Artists Records
Always And Forever,Heatwave,GTO
The Groove Line,Heatwave,GTO
You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy,Motown
Running On Empty,Jackson Browne,Asylum Records
Thunder Island,Jay Ferguson,Asylum Records
Count On Me,Jefferson Starship,Grunt
Life's Been Good,Joe Walsh,Asylum Records
Love Is In The Air,John Paul Young,Ariola
Summer Nights,John Travolta and Olivia Newton-john,?
You're The One That I Want,John Travolta and Olivia Newton-John,?
"Too Much, Too Little, Too Late",Johnny Mathis and Deniece Williams,?
Dust In The Wind,Kansas,Kirshner
"Whenever I Call You ""Friend""",Kenny Loggins,Columbia
Back In Love Again,L.T.D.,?
Falling,LeBlanc and Carr,Big Tree Records
Blue Bayou,Linda Ronstadt,Magic Factory
It's So Easy,Linda Ronstadt,Asylum Records
Reminiscing,Little River Band,EMI
What's Your Name,Lynyrd Skynyrd,MCA Records
Two Out Of Three Ain't Bad,Meat Loaf,Epic
Bluer Than Blue,Michael Johnson,EMI America
Our Love,Natalie Cole,Capitol Records
Hot Child In The City,Nick Gilder,Chrysalis
Native New Yorker,Odyssey,RCA Victor
Use Ta Be My Girl,O'Jays,?
Hopelessly Devoted To You,Olivia Newton-John,?
Love Will Find A Way,Pablo Cruise,A&M Records
Flashlight,Parliament,Simply Vinyl (S12)
Because The Night,Patti Smith,Viva
I Go Crazy,Paul Davis,CBS/Sony
Slip Slidin' Away,Paul Simon,CBS
Dance With Me,Peter Brown,T.K. Disco
Baby Come Back,Player,Philips
This Time I'm In It For Love,Player,RSO
We Are The Champions,Queen,EMI
We Will Rock You,Queen,Elektra
Short People,Randy Newman,Warner Bros. Records
Jack And Jill,Raydio,Arista
You And I,Rick James,Motown
We're All Alone,Rita Coolidge,A&M Records
Every Kinda People,Robert Palmer,Island Records
The Closer I Get To You,Roberta Flack and Donny Hathaway,?
You're In My Heart,Rod Stewart,Warner Bros. Records
Miss You,Rolling Stones,Rolling Stones Records
Emotion,Samantha Sang,Private Stock
Dont Let Me Be Misunderstood,Santa Esmeralda,Carrere
Hey Deanie,Shaun Cassidy,Warner Bros. Records
Deacon Blues,Steely Dan,ABC Records
Peg,Steely Dan,ABC Records
Come Sail Away,Styx,A&M Records
Love Is Like Oxygen,Sweet,Capitol Records
Disco Inferno,Trammps,Atlantic
Magnet And Steel,Walter Egan,Polydor
With A Little Luck,Wings,EMI Electrola
If I Can't Have You,Yvonne Elliman,RSO
New York Groove,Ace Frehley,Casablanca
Time Passages,Al Stewart,Arista
How You Gonna See Me Now,Alice Cooper,Warner Bros. Records
How Much I Feel,Ambrosia,Warner Bros. Records
Knock On Wood,Amii Stewart,Carrere
(Our Love) Don't Throw It All Away,Andy Gibb,RSO
Ring My Bell,Anita Ward,T.K. Records
I Just Fall In Love Again,Anne Murray,Capitol Records
Every Time I Think Of You,Babys,Chrysalis
Rock 'N' Roll Fantasy,Bad Company,Swan Song
The Main Event (Fight),Barbra Streisand,Columbia
You Don't Bring Me Flowers,Barbra Streisand and Neil Diamond,?
Somewhere In The Night,Barry Manilow,Arista
Too Much Heaven,Bee Gees,RSO
Tragedy,Bee Gees,RSO
Love You Inside Out,Bee Gees,RSO
My Life,Billy Joel,CBS
Heart Of Glass,Blondie,Chrysalis
We've Got Tonight,Bob Seger and The Silver Bullet Band,Capitol Records
What You Won't Do For Love,Bobby Caldwell,Clouds
Heaven Must Have Sent You,Bonnie Pointer,Motown
The Devil Went Down To Georgia,Charlie Daniels Band,Epic
I Want You To Want Me,Cheap Trick,Epic
Take Me Home,Cher,Philips
Got To Be Real,Cheryl Lynn,CBS
Good Times,Chic,Atlantic
Le Freak,Chic,Atlantic
I Want Your Love,Chic,Atlantic
Sail On,Commodores,Motown
Makin' It,David Naughton,RSO
The Boss,Diana Ross,Motown
I'll Never Love This Way Again,Dionne Warwick,Arista
Sultans Of Swing,Dire Straits,Warner Bros. Records
MacArthur Park,Donna Summer,Casablanca
Hot Stuff,Donna Summer,Philips
Bad Girls,Donna Summer,Casablanca
Heaven Knows,Donna Summer and Brooklyn Dreams,?
What A Fool Believes,Doobie Brothers,Warner Bros. Records
Sharing The Night Together,Dr. Hook,?
When You're In Love With A Beautiful Woman,Dr. Hook,?
After The Love Has Gone,"Earth, Wind and Fire",?
Boogie Wonderland,"Earth, Wind and Fire",?
September,"Earth, Wind and Fire",?
Suspicions,Eddie Rabbitt,Elektra
Don't Bring Me Down,Electric Light Orchestra,Jet Records
Shine A Little Love,Electric Light Orchestra,Jet Records
Mama Can't Buy You Love,Elton John,The Rocket Record Company
Love Is The Answer,England Dan and John Ford Coley,Big Tree Records
Promises,Eric Clapton,RSO
Strange Way,Firefall,Atlantic
Music Box Dancer,Frank Mills,Capitol Records
Disco Nights,G.Q.,?
I Just Wanna Stop,Gino Vannelli,A&M Records
I Will Survive,Gloria Gaynor,QED
Rise,Herb Alpert,A&M Records
Every 1's A Winner,Hot Chocolate,RAK
Shake It,Ian Matthews,?
I Got My Mind Made Up,Instant Funk,Salsoul Records
Shake Your Body,Jacksons,Wacko Records
Gold,John Stewart,RSO
She Believes In Me,Kenny Rogers,United Artists Records
The Gambler,Kenny Rogers,United Artists Records
I Was Made For Lovin' You,Kiss,Casablanca
My Sharona,Knack,Capitol Records
I Was Made For Dancin',Leif Garrett,Scotti Bros. Records
Ooh Baby Baby,Linda Ronstadt,Asylum Records
Lady,Little River Band,EMI
Lonesome Loser,Little River Band,Capitol Records
Lead Me On,Maxine Nightingale,United Artists Records
Ain't No Stoppin' Us Now,McFadden and Whitehead,Philadelphia International Records
Don't Cry Out Loud,Melissa Manchester,Arista
Don't Stop 'Til You Get Enough,Michael Jackson,Epic
Lotta Love,Nicolette Larson,Warner Bros. Records
A Little More Love,Olivia Newton-John,?
Born To Be Alive,Patrick Hernandez,CBS
Reunited,Peaches and Herb,Rotation
Shake Your Groove Thing,Peaches and Herb,Polydor
Fire,Pointer Sisters,Elektra
Just When I Needed You Most,Randy Vanwarmer,Edigsa
You Can't Change That,Raydio,Arista
You Take My Breath Away,Rex Smith,CBS
Chuck E's In Love,Rickie Lee Jones,Warner Bros. Records
Sad Eyes,Robert John,EMI America
Bad Case Of Lovin' You,Robert Palmer,Island Records
Da Ya Think I'm Sexy,Rod Stewart,Warner Bros. Records
Get Used To It,Roger Voudouris,Warner Bros. Records
We Are Family,Sister Sledge,Cotillion
He's The Greatest Dancer,Sister Sledge,Atlantic
Renegade,Styx,A&M Records
The Logical Song,Supertramp,A&M Records
Stumblin' In,Suzi Quatro and Chris Norman,?
Hold The Line,Toto,CBS
Dance The Night Away,Van Halen,Warner Bros. Records
Y.M.C.A.,Village People,Philips
In The Navy,Village People,Arrival Records
Goodnight Tonight,Wings,Parlophone
All Out Of Love,Air Supply,Arista Records
Lost In Love,Air Supply,Arista
Biggest Part Of Me,Ambrosia,Warner Bros. Records
Desire,Andy Gibb,Polydor
Broken Hearted Me,Anne Murray,Capitol Records
Daydream Believer,Anne Murray,Capitol Records
No More Tears (Enough Is Enough),Barbra Streisand and Donna Summer,?
Ships,Barry Manilow,Arista
Into The Night,Benny Mardones,Polydor
The Rose,Bette Midler,Atlantic
It's Still Rock And Roll To Me,Billy Joel,CBS
You May Be Right,Billy Joel,CBS
With You I'm Born Again,Billy Preston and Syreeta,Motown
Call Me,Blondie,Chrysalis
Fire Lake,Bob Seger and The Silver Bullet Band,Capitol Records
Against The Wind,Bob Seger and The Silver Bullet Band,Capitol Records
Breakdown Dead Ahead,Boz Scaggs,Columbia
Stomp,Brothers Johnson,A&M Records
Do That To Me One More Time,Captain and Tennille,Casablanca
